Timestamp,Reese's Peanut Butter Cups,Skittles (Original),Cherry Air Heads ,Milky Way,Blow Pops Assortment
2/1/2020 9:48:03,4,2,8,5,0
2/1/2020 11:25:08,10,5,4,6,8
2/1/2020 11:25:22,10,5,3,10,3
2/1/2020 11:25:22,8,5,9,0,2
2/1/2020 11:25:31,10,6,4,1,0
2/1/2020 11:25:32,8,9,8,0,6
2/1/2020 11:25:32,10,7,5,8,3
2/1/2020 11:25:32,6,7,4,9,6
2/1/2020 11:25:33,8,7,7,9,7
2/1/2020 11:25:33,4,9,7,10,8
2/1/2020 11:25:36,8,10,8,2,7
2/1/2020 11:25:37,0,4,1,9,10
2/1/2020 11:25:38,10,4,5,5,2
2/1/2020 11:25:41,0,10,1,3,8
2/1/2020 11:25:43,7,3,7,10,1
2/1/2020 11:25:46,10,0,0,0,8
2/1/2020 11:25:48,9,8,7,10,4
2/1/2020 11:25:51,3,10,5,10,7
2/1/2020 11:25:51,0,7,9,10,6
2/1/2020 11:25:57,6,9,2,4,9
2/1/2020 11:26:00,5,4,8,10,7
2/1/2020 11:26:11,7,5,5,1,6
2/1/2020 11:26:13,7,8,10,5,0
2/1/2020 11:26:19,10,7,8,10,9
2/1/2020 11:26:54,0,10,10,2,10
2/1/2020 9:48:03,4,5,6,7,10
2/1/2020 9:48:03,0,0,0,0,0
2/1/2020 9:48:03,10,10,10,10,10
2/1/2020 9:48:03,0,7,7,2,7
2/1/2020 9:48:03,9,1,8,8,2
2/1/2020 9:48:03,2,8,8,8,2
2/1/2020 9:48:03,5,6,4,3,5
2/1/2020 9:48:03,7,0,2,4,4
2/1/2020 9:48:03,6,0,3,3,2
2/1/2020 9:48:03,5,0,3,6,6
2/1/2020 9:48:03,1,4,9,8,6
2/1/2020 9:48:03,7,2,9,2,7
2/1/2020 9:48:03,1,3,10,10,4
2/1/2020 9:48:03,9,10,9,2,7
